127.0.0.1 - - [03/Oct/2021:12:49:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:20 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:22 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7893
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:28:48 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7919
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:04 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7919
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7919
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:29:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8220
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:13 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8220
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:42 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8256
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:13:41:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8541
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:49 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:49 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:49 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:49 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:49 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8560
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:02:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:06:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:17:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:01 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8585
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8598
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:18:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8598
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/style.css?v=2 HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/img/shoe_1.png HTTP/1.1" 200 16284
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/header.css HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/home.css HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/footer.css HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/signup.css HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/login.css HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/orderform.css HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /carrot/css/shoes.css HTTP/1.1" 200 3356
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:20:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:14:21:22 +0900] "GET /carrot/orderform.jsp HTTP/1.1" 200 8607
